ratings,reviews
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
5,Service was really was really good by vimal sagar. Food was really good. Thankyou so much for this service
5,Awsme food and service...Mohit chaudhary good person
5,This spot gives extraordinary service and yummy meals. One of my favourite restaurants around town. The meals were served rapidly and the rates were reasonable. Highly recommended. The rooftop ambience is 👍...
5,Overall a good clubbing experience
5,Mr. Rajendra Singh Chauhan had provided excellent service and all the dishes recommended by him were great
